SalesOrderNumber,CustomerKey,OrderDate,OrderQuantity,UnitPrice,SalesAmount,ProductKey,SalesTerritoryKey
SO43793,11000,2005-07-22,1,3399.99,3399.99,344,9
SO51522,11000,2007-07-22,1,2319.99,2319.99,353,9
SO51522,11000,2007-07-22,1,21.98,21.98,485,9
SO57418,11000,2007-11-04,1,2384.07,2384.07,573,9
SO57418,11000,2007-11-04,1,28.99,28.99,541,9
SO57418,11000,2007-11-04,1,4.99,4.99,530,9
SO57418,11000,2007-11-04,1,34.99,34.99,214,9
SO57418,11000,2007-11-04,1,53.99,53.99,488,9
SO43767,11001,2005-07-18,1,3374.99,3374.99,350,9
SO51493,11001,2007-07-20,1,2319.99,2319.99,353,9
SO51493,11001,2007-07-20,1,21.98,21.98,485,9
SO51493,11001,2007-07-20,1,4.99,4.99,477,9
SO51493,11001,2007-07-20,1,9.99,9.99,478,9
SO51493,11001,2007-07-20,1,53.99,53.99,491,9
SO51493,11001,2007-07-20,1,8.99,8.99,225,9
SO72773,11001,2008-06-12,1,539.99,539.99,604,9
SO72773,11001,2008-06-12,1,4.99,4.99,477,9
SO72773,11001,2008-06-12,1,8.99,8.99,479,9
SO72773,11001,2008-06-12,1,34.99,34.99,217,9
SO43736,11002,2005-07-10,1,3399.99,3399.99,346,9
SO51238,11002,2007-07-04,1,2294.99,2294.99,359,9
SO53237,11002,2007-08-27,1,2384.07,2384.07,561,9
SO53237,11002,2007-08-27,1,34.99,34.99,222,9
SO43701,11003,2005-07-01,1,3399.99,3399.99,346,9
SO51315,11003,2007-07-09,1,2294.99,2294.99,361,9
SO51315,11003,2007-07-09,1,9.99,9.99,478,9
SO51315,11003,2007-07-09,1,4.99,4.99,477,9
SO51315,11003,2007-07-09,1,8.99,8.99,225,9
SO57783,11003,2007-11-11,1,2384.07,2384.07,564,9
SO57783,11003,2007-11-11,1,28.99,28.99,541,9
SO57783,11003,2007-11-11,1,4.99,4.99,530,9
SO57783,11003,2007-11-11,1,2.29,2.29,480,9
SO43810,11004,2005-07-26,1,3399.99,3399.99,345,9
SO51595,11004,2007-07-26,1,2319.99,2319.99,355,9
